symbol,set_id,strategy,action,entry_price,initial_stop_loss,stop_loss,take_profit,position_size,dollar_risk,exit_price,exit_reason,r_multiple,pnl
BTCUSDT,SET_1_INVESTING,A_PULLBACK_RIDING,BUY,63118.62,61678.904464,63868.421116,73777.0,0.00694582,10.0,63868.421116,MTF_TRAIL_HIT,0.4765,4.7655
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,58364.97,55838.421607,62701.362902,73777.0,0.00397683,10.0477,62701.362902,MTF_TRAIL_HIT,1.6919,16.9992
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,60799.99,58103.32875,62775.834687,73777.0,0.003789,10.2176,62775.834687,MTF_TRAIL_HIT,0.7096,7.2501
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,61577.49,59553.130536,65938.070134,73777.0,0.00508316,10.2901,65938.070134,MTF_TRAIL_HIT,2.1219,21.8348
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,67540.01,66010.39625,68077.596562,73777.0,0.00687003,10.5085,68077.596562,MTF_TRAIL_HIT,0.307,3.2264
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,66773.01,65573.3425,65573.3425,73777.0,0.0087864,10.5408,65573.3425,SL_HIT,-1.0549,-11.1189
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,66043.99,64601.804286,66638.153571,73777.0,0.00723178,10.4296,66638.153571,MTF_TRAIL_HIT,0.3659,3.8159
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,65175.32,63593.86,66087.575,73777.0,0.00661903,10.4677,66087.575,MTF_TRAIL_HIT,0.5352,5.6021
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,64869.99,63593.34875,63593.34875,73777.0,0.00824331,10.5238,63593.34875,SL_HIT,-1.05,-11.05
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,64143.56,62946.443571,62946.443571,73777.0,0.00869861,10.4133,62946.443571,SL_HIT,-1.0528,-10.9628
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,60293.3,57884.294643,61817.748661,73777.0,0.00427713,10.3036,61817.748661,MTF_TRAIL_HIT,0.6073,6.2572
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,60864.99,57932.406429,61656.074107,73777.0,0.00353483,10.3662,61656.074107,MTF_TRAIL_HIT,0.2488,2.579
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,60427.84,57942.136071,62437.334018,73777.0,0.0041807,10.392,62437.334018,MTF_TRAIL_HIT,0.7835,8.1418
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,63327.59,62038.727679,63808.41442,71997.02,0.00812608,10.4734,63808.41442,MTF_TRAIL_HIT,0.3236,3.3896
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,60805.78,59659.394821,62103.713705,71997.02,0.00916559,10.5073,62103.713705,MTF_TRAIL_HIT,1.0783,11.3296
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,60649.28,59499.343571,61189.705893,71997.02,0.00923581,10.6206,61189.705893,MTF_TRAIL_HIT,0.4169,4.4272
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,60752.71,59338.987857,62131.419464,71997.02,0.00754382,10.6649,62131.419464,MTF_TRAIL_HIT,0.9315,9.9342
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,60326.39,58479.5875,62955.859375,71997.02,0.00582856,10.7642,62955.859375,MTF_TRAIL_HIT,1.39,14.9622
BTCUSDT,SET_1_INVESTING,A_PULLBACK_RIDING,BUY,95778.2,93691.654821,97598.353705,109588.0,0.00523057,10.9138,97598.353705,MTF_TRAIL_HIT,0.8257,9.0119
BTCUSDT,SET_1_INVESTING,A_PULLBACK_RIDING,BUY,91552.88,90684.277143,92323.539286,109588.0,0.01266856,11.0039,92323.539286,MTF_TRAIL_HIT,0.7811,8.5957
BTCUSDT,SET_1_INVESTING,A_PULLBACK_RIDING,BUY,88680.4,85334.432857,85334.432857,109588.0,0.00331441,11.0899,85334.432857,SL_HIT,-1.0257,-11.3749
BTCUSDT,SET_1_INVESTING,A_PULLBACK_RIDING,BUY,84250.09,81483.624643,86386.843661,109588.0,0.00396757,10.9762,86386.843661,MTF_TRAIL_HIT,0.7413,8.1367
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,94733.68,92181.406964,96282.581741,109588.0,0.00433242,11.0575,96282.581741,MTF_TRAIL_HIT,0.5693,6.2948
BTCUSDT,SET_1_INVESTING,B_CONTINUATION_RIDING,BUY,103985.48,102827.149107,104610.417277,109588.0,0.00960043,11.1205,104610.417277,MTF_TRAIL_HIT,0.4493,4.9967
BTCUSDT,SET_1_INVESTING,A_PULLBACK_RIDING,BUY,112650.99,111293.487679,113600.62442,124474.0,0.00822867,11.1704,113600.62442,MTF_TRAIL_HIT,0.616,6.8811
